translation,category,macrocategory,subcategory,1640,1641,1642,1643,1644,1645,1646,1647,1648,1649,1650,1651,1652,1653,1654,1655,1656,1657,1658,1659,1660,1661,1662,1663,1664,1665,1666,1667,1668,1669,1670,1671,1672,1673,1674,1675,1676,1677,1678,1679,1680,1681,1682,1683,1684,1685,1686,1687,1688
lamb,Meat,Meat,Other,,463.5,,,140,485.75,366.5,,,,,,,,,,,,,8,,,1,"1,506.75",85.25,3.5,,,4,,25,6.5,3,12,,,,,,6,,1,3,,,,,,
lamprey,Fish,Meat,,,1220,,,,420,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lard,Cooking oil,Flavoring/Other,,,,,,9.5,29.5,2,,,,,,,,,,,,,,,,,11,11,,,,,,4,,,9,,,,,,2,,1,,,,,,,
lark,Meat,Meat,"Bird, wild",,2679,,,1232,3229,60,,,,,,,,,,,,,0,,,,,,,,,24,,190,,,,,,,,,,,,,,,,,,
lemons,Fruit,Fruits and Vegetables,Citrus,,2757,,,1702,4112,4778,,24,,,,,,,,7862,700,,87,,,,,1697,,,,40,,60,,175,140,,,,,,50,,,,,,,,,
mace,Spice,Flavoring/Other,,,26.2,,,22.9,42.14,41.3,,0.25,,,,,,,,76,9,,0.9,,,,71.84,37.5,,,,4.09,,1.3125,1,1.625,1.125,2,,,,,1.25,,,,,,,,,
millet gruel,Grain,Grain,,,178,,,60,204,456,,,,,,,,,,,,,0,,,,87,,,,,0,,,,,,,,,,,,,,,,,,,,
Moose,Meat,Meat,"venison, wild",,15.75,,,,10.75,54.25,,,,,,,,,,,,,1,,,,5,10,,,,,,,,,,,,,,,4.5,,,,,,,,,
Moose and pickeled game (probably also moose),Meat,Meat,"venison, wild",,28.87,,,,1,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,
mustard,Seasoning,Flavoring/Other,,,57,,,10,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mutton,Meat,Meat,Other,,737.25,,,194.12,860.75,931.25,,,,,,,,,,,,,16.25,,,19.5,"2,689.5",671.5,32,,,4,,15.5,5,,,,,,,,283,,314,,,,,,,
nutmeg,Spice,Flavoring/Other,,,14.828,,,14.5,22.03,22.9,,,,,,,,,,62.75,10,,0.5,,,,69.375,36.125,,,,0.6,,0.5,0.69,1.1,0.75,2,,,,,1.25,,,,,,,,,
oat groats,Grain,Grain,,,459.5,,,463,936,1275,,,,,,,,,,,,,52,,,,2295,336,,,,28,,,,,,,,,,,72,,336,,,,,,,
olives,Olives,Flavoring/Other,,,121.5,,,24,31,127,,,,,,,,,,96,4,,1.5,,,,,34,,,,3,,,,,,,,,,,1,,,,,,,,,
oxen,Meat,Meat,Beef,,1,,,1,1,5,,1,,,,,,,,,,,25,,,12.5,4,11,26,,,2,,9,1,1,1,1,1,1,1,1,14,,,1,1,1,1,1,2,1
oysters,Fish,Meat,,,3456,,,2592,192,,,,,,,,,,,480,,,0,,,,9216,384,,,,768,,1727,,,,,,,,,,,,,,,,,,
pearl barley,Grain,Grain,,,662,,,432,789,408.5,,,,,,,,,,,,,0,,,,1808,48,,,,172,,,8,,,,,,,,,,48,,,,,,,
pearl barley groats,Grain,Grain,,,,,,,,,,,,,,,,,,10,,,,,,,45,10,,,,0,,4,2,,,,,,,,4,,,,,,,,,
peas,Grain,Grain,,,"1,994.5",,,1427,2195,3390,,,,,,,,,,,,,972,,,,6246,736,,,,"1,401.5",,,,,,,,,,,192,,432,,,,,,,
pepper,Spice,Flavoring/Other,,,217.59,,,134.25,247.8125,344.3,,4.25,,,,,,,,95.25,35.5,,5.75,,,,350.875,120.5,,,,1.625,,4.5,3.5,6,4.5,6,,,,,5.5,,,,,,,,,
perch,Fish,Meat,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pickled carp,Fish,Meat,preserved,,2388,,,,228,,,,,,,,,,,,,,0,,,,0,384,,,,0,,,,,,,,,,,,,,,,,,,,
Pickled deer,Meat,Meat,"venison, wild",,17.25,,,6.25,8,11,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pickled eel,Fish,Meat,,,18600,,,1572,1200,2640,,,,,,,,,,,,,24,,,,136,1248,,,,,,,,,,,96,96,,,,,,,,,,,,
pickled gudgeon,Fish,Meat,,,24,,,348,120,156,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
pickled herring,Fish,Meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pickled herring,Fish,Meat,preserved,,876,,,1560,3240,3924,,,,,,,,,,,,,,,,,1752,156,,,,,,48,,,,,,,,,,,,,,,,,,
pickled lamprey,Fish,Meat,,,192,,,264,300,60,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,
pickled pike,Fish,Meat,preserved,,1848,,,120,100,0,,,,,,,,,,,,,0,,,,1152,96,,,,0,,,,,,,,,,,,,,,,,,,,
pickled pike-perch,Fish,Meat,preserved,,12160,,,,2844,1920,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
pickled pork,Meat,Meat,pork,,,,,,1.5,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pickled salmon,Fish,Meat,preserved,,192,,,1080,,480,,,,,,,,,,,,,0,,,,1920,,,,,0,,,,,,,,,,,,,,,,,,,,
pickled sturgeon,Fish,Meat,,,,,,,,,,,,,,,,,,,,,60,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,
pickled wild cow,Meat,Meat,"beef, wild",,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pig,Meat,Meat,Pork,,59.75,,,26,53,60.25,,1,,,,,,,,,,,,,,2,74.75,23.5,2,,,0.5,,1,3,1,1,1,1,1,1,1,15,,26,1,1,1,1,,2,
pig's head,Meat,Meat,Pork,,190.5,,,142.5,145.5,115,,,,,,,,,,,,,0,,,,89,2,,,,,,9,,4,,,2,2,,,,,7,,,,,,,
pike,Fish,Meat,,,6322,,,4035,10578,7665,,,,,,,,,,,,,64,,,59,12547,3221,,,,285,,24,16,,,,,,,,172,,,,,,,,,
pike-perch,Fish,Meat,,,8,,,,,18,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
pinenuts,Seeds,Flavoring/Other,,,,,,,,,,,,,,,,,,21,,,0,,,,,18,,,,0,,,,,,,,,,,,,,,,,,,,
pistachios,Nuts,Flavoring/Other,,,,,,,,,,,,,,,,,,12,,,0,,,,64,11,,,,0,,,,,,,,,,,,,,,,,,,,
Plums,Fruit,Fruits and Vegetables,,,636,,,345,1134,2070,,,,,,,,,,395,,,10,,,,5740,551,,,,63,,16,,,,,,,,,55,,,,,,,,,
Pomagranates,Fruit,Fruits and Vegetables,,,381,,,65,112,65,,,,,,,,,,,,,0,,,,846,,,,,30,,75,18,,,,,,,,,,,,,,,,,
poppy seeds,Seeds,Flavoring/Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,92,42,,,,,,,,,,,,,,,
preserved barberries,Fruit,Fruits and Vegetables,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserved sturgeon,Fish,Meat,,,,,,,,,,,,,,,,,,,,,,,,,38.5,,,,,,,,,,,,,,,,,,,,,,,,,
quail,Meat,Meat,"Bird, wild",,3,,,649,1,,,,,,,,,,,,,,0,,,,26,13,,,,,,,,,,,,,,,,,,,,,,,,
Quark,Dairy,Dairy,,,340,,,312,216,199,,168,,,,,,,,,,,144,,,,,168,,,,0,,264,,168,,,,,,,,,,,,,,,,
rabbit,Meat,Meat,wild,,87,,,87,249,457,,,,,,,,,,,,,0,,,,692,109,,,,10,,19,9,,,,,,,,59,,,,,,,,,
raisins,Fruit,Fruits and Vegetables,preserved,,425.5,,,214.75,496.75,661.2,,24,,,,,,,,264,,,49,,,,859,369.5,,,,6,,26,42,90,61,10,,,,,24,,,,,,,,,
rice,Grain,Grain,,,520,,,547,837,666.5,,,,,,,,,,328,110,,6,,,,0,697,,,,88,,2,10,,,15,,,,,13,,,,,,,,,
rice flour,Grain,Grain,,,,,,,,,,,,,,,,,,,,,,,,,45,45,,,,11,,,,,,,,,,,,,,,,,,,,
roe deer,Meat,Meat,"venison, wild",,67,,,62.75,80.75,127.75,,,,,,,,,,,,,0,,,,51,3,,,,1,,4,,,,,,,,,8,,,1,,,,,,
saffron,Spice,Flavoring/Other,,,7.9,,,3.3,8.7,15.7,,0.625,,,,,,,,9.06,1.5,,0.4,,,,8.625,5.375,,,,0.03125,,0.0625,0.03125,0.4375,0.1875,0.5,,,,,0.325,,,,,,,,,
salmon,Fish,Meat,,,308,,,56.5,165.5,96.5,,,,,,,,,,,,,2.5,,,,242,20,,,,4,,1,,,,,,,,,22,,,4,,,,,,
salmon trout,Fish,Meat,,,39,,,,,0,,,,,,,,,,,,,,,,,18,,,,,0,,19,,,,,,,,,,,,,,,,,,
salted cod,Fish,Meat,,,497,,,565,1169,1793,,,,,,,,,,,,,0,,,,1305,289,,,,49,,,,,,,,,,,88,,,,,,,,,
sandpipers,Meat,Meat,"Bird, wild",,167,,,125,256,25,,,,,,,,,,,,,0,,,,311,,,,,6,,41,,,,,,,,,,,,,,,,,,
sardines,Fish,Meat,,,,,,,,,,,,,,,,,,96,,,0,,,,,3648,,,,48,,,,,,,,,,,,,,,,,,,,
sheep,Meat,Meat,Other,,"1,268.5",,,"1,164.75","1,172.25",1381,,,,,,,,,,,,,6,,,2,"1,093.5",190.5,,,,1,,10.25,,,,,,,,,4,,,,,,,,,
small birds,Meat,Meat,"Bird, wild",,649,,,50,296,391,,,,,,,,,,,,,0,,,,118,,,,,0,,426,,,,,,,,,135,,,,,,,,,
Small sheep cheese,Dairy,Dairy,,,1071,,,204,515,553,,,,,,,,,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,
"small, edible fish",Fish,Meat,,,5280,,,4032,3576,504,,,,,,,,,,,,,288,,,,1188,,,,,156,,,,,,,,,,,84,,,,,,,,,
smoked fish,Fish,Meat,,,15480,,,390,4080,0,,,,,,,,,,,,,0,,,,9180,,,,,750,,,,,,,,,,,,,,,,,,,,
snails,Seafood,Meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,,,,,,,,,
snow bunting,Meat,Meat,"Bird, wild",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sparrows & skylarks,Meat,Meat,"Bird, wild",,,,,,,,,,,,,,,,,,,,,,,,280,,,,,,,,,,,,,,,,,,,,,,,,,
spiced gudgeon,Fish,Meat,,,143,,,,66,0,,,,,,,,,,,,,0,,,,34,,,,,0,,,,,,,,,,,,,,,,,,,,
spicy sauerkraut,Vegetable,Fruits and Vegetables,,,528,,,41555,240,240,,72,,,,,,,,,,,48,,,192,,,,,,0,,0,,,,,,,,,,,,,,,,,,
starling,Meat,Meat,"Bird, wild",,107,,,24,19,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,
sturgeon,Fish,Meat,,,1,,,,,1,,,,,,,,,,,,,,,,,3,,,,,0,,,,,,,,,,,,,,,,,,,,
suckling pig,Meat,Meat,Pork,,432,,,227,160,170,,,,,,,,,,,,,0,,,2,279,105,,,,0,,4,3,,,,,,,,7,,,,,,,,,
sugar,Sugar,Flavoring/Other,,,2333,,,"1,524.4",3414,"3,296.25",,42,,,,,,,,"4,190.5",533.625,,77,,,,"6,365.5","2,311.5",,,,30,,77.5,64,146,92,40,,,,,145.75,,,,,,,,,
swans,Meat,Meat,"bird, wild",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tench,Fish,Meat,,,1,,,,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thrush,Meat,Meat,"Bird, wild",,1680,,,116,345,2351,,,,,,,,,,,,,12,,,,18,2068,,,,,,46,,,,,,,,,,,,,,,,,,
turbot,Fish,Meat,,,,,,1,,0,,,,,,,,,,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,
turkey,Meat,Meat,"bird, fowl",,196,,,133,168,358,,,,,,,,,,,,,0,,,3,79,293,7,,,6,,21,5,,,,,,,,77,,136,,,,,,,
various small fish ,Fish,Meat,,,96,,,132,156,340,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
veal,Meat,Meat,Beef,,977.85,,,523.13,685.85,779.75,,,,,,,,,,,,,3,,,18,"1,646.5",148.75,,,,4,,20,12.5,15,14.5,,,,,,68.25,,159,,,,,,6,
vimba bream,Fish,Meat,,,20,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water mannagrass,Grain,Grain,,,120.5,,,45.5,97,51,,,,,,,,,,,,,1,,,,53,9,,,,0,,,,,,,,,,,4,,,,,,,,,
waxwing,Meat,Meat,"Bird, wild",,343,,,,580,186,,,,,,,,,,,,,,,,15,2076,,,,,,,,,,,,,,,,130,,240,,,,,,,
Wels catfish,Fish,Meat,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
westphalian ham,Meat,Meat,pork,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wheat flour,Grain,Grain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,,,,,,,,,
wild boar,Meat,Meat,"pork, wild",,41,,,31.37,30.75,86.25,,,,,,,,,,,,,0.5,,,,37,3,,,,94,,0,,,,,,,,,1,,1,,,,,,,
wild geese,Meat,Meat,"bird, wild",,20,,,12,41,25,,,,,,,,,,,,,0,,,,47,19,,,,,,,,,,,,,,,,,,,,,,,,
wine vinegar,Acid,Flavoring/Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,12,,,,,,,,,,,,,,,,
yellow hammer,Meat,Meat,"Bird, wild",,2092,,,,2685,4453,,,,,,,,,,,,,0,,,,7109,2491,,,,,,,,,,,,,,,,,,,,,,,,
young boar,Meat,Meat,"pork, wild",,13,,,20.25,18.37,74.25,,,,,,,,,,,,,0,,,,19,4,,,,,,0,,,,,,,,,3,,,,,,,,,
